source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
1_0508,1_0563,spatial,1.9414201622462788,13,0.5746568385410851,14,0.6797029289750016
1_0509,1_0563,spatial,2.320734266223414,13,0.7139778835423539,14,0.7007948711264642
1_0505,1_0564,spatial,1.4270632093329858,3,0.9899466129203928,4,0.9092105039494154
1_0504,1_0564,spatial,1.7892597200503249,3,0.9296647652864107,4,0.6013267014540197
1_0507,1_0564,spatial,2.041190005147616,3,0.9333914790721565,4,0.6147686577043047
1_0506,1_0564,spatial,2.340655767381188,3,0.9296647652864107,4,0.6013267014540197
1_6019,1_B350,spatial,50.32228280101868,2,,3,
1_6019,1_B330,spatial,50.55982593459898,2,,3,
1_6019,1_B320,spatial,50.73332544019057,2,,3,
1_6019,1_B310,spatial,50.97328535934673,2,,3,
1_6019,1_B340,spatial,51.78810096311403,2,,3,
1_0603,1_0604,spatial,0.1580986350297484,7,-0.37975199386745484,8,0.34122397200157206
1_0603,1_0606,spatial,0.3592889060200748,7,0.6454972243679028,8,0.944911182523068
1_0603,1_0661,spatial,0.5600704791578908,4,,5,
1_0603,1_0662,spatial,0.9479267395464916,6,0.6537945447857219,7,0.9166101692584165
1_0603,1_0663,spatial,1.2358274131605966,6,0.806301959642199,7,0.8761257224511245
1_0603,1_0608,spatial,1.4581528630841505,7,0.9610172900730299,8,0.9790743216086177
1_0603,1_0607,spatial,1.8612964262521368,6,,7,
1_0604,1_0606,spatial,0.2018943781304416,7,-0.4671867646390384,8,0.502985101147189
1_0604,1_0661,spatial,0.4029706503427978,4,-0.02331942739313569,5,0.8042619774581317
1_0604,1_0662,spatial,0.7898337073871033,6,-0.3682071776761612,7,0.5910901780627217
1_0604,1_0663,spatial,1.077745379863593,6,0.09370256423853313,7,0.7310702853245569
1_0604,1_0608,spatial,1.3000940846780988,7,-0.2787261328647005,8,0.5082910253687606
1_0604,1_0607,spatial,1.703291500295781,6,0.07455177977753623,7,0.8924218683356224
1_0606,1_0661,spatial,0.2010851603915188,4,,5,
1_0606,1_0662,spatial,0.5897851124872555,6,0.9277153322571089,7,0.9885625033640261
